Match ID,Player,#,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
33,Samuel Adeniran,16,us USA,FW,25-004,62,12,10,2,0,0,0,1,0,0,0,0,0,6,0,1
33,Klauss,9,br BRA,FW,26-217,28,7,5,2,0,0,1,0,1,0,0,0,0,3,0,1
33,Tomas Ostrak,7,cz CZE,LW,23-241,45,17,17,0,0,0,1,0,0,0,0,0,0,12,0,1
33,Aziel Jackson,25,fr FRA,LW,21-345,45,13,13,0,0,0,0,0,0,0,0,0,0,12,0,1
33,Jared Stroud,8,us USA,RW,27-086,70,25,24,0,0,0,0,3,0,0,0,0,0,21,1,0
33,Indiana Vassilev,19,us USA,RW,22-230,20,9,8,0,0,0,0,0,0,0,0,0,0,8,1,0
33,Nicholas Gioacchini,11,us USA,AM,23-071,70,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0
33,Nokkvi Thorisson,29,is ISL,AM,24-052,20,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
33,Njabulo Blom,6,za RSA,DM,23-297,78,31,31,0,0,0,0,0,0,0,0,0,0,27,0,0
33,Célio Pompeu,12,br BRA,DM,23-298,12,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0
33,Eduard Lowen,10,de GER,DM,26-249,90,73,69,4,2,0,0,4,0,2,0,2,0,48,0,3
33,Anthony Markanich,13,us USA,LB,23-282,90,42,34,8,0,0,0,0,8,0,0,0,0,35,0,1
33,Tim Parker,26,us USA,CB,30-223,90,60,54,6,6,0,0,0,0,0,0,0,0,50,0,0
33,Joshua Yaro,15,gh GHA,CB,28-320,90,44,44,0,0,0,0,0,0,0,0,0,0,34,0,0
33,Jake Nerwinski,2,us USA,RB,28-352,90,59,50,8,0,0,0,3,8,0,0,0,0,38,1,1
33,Benjamin Lundt,39,de GER,GK,28-010,90,28,17,11,1,0,0,0,0,0,0,0,0,23,0,0
