Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
17,Rasmus Alm,21,se SWE,FW,27-332,59,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0
17,Nicholas Gioacchini,11,us USA,FW,22-355,31,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
17,Samuel Adeniran,16,us USA,FW,24-288,68,2,2,1,1,0,1,1,100,0,0,0,0,0,2,0,0
17,Tomas Ostrak,7,cz CZE,FW,23-160,22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17,Aziel Jackson,25,fr FRA,AM,21-264,69,3,3,1,1,1,3,5,60,2,1,0,1,0,3,0,0
17,Celio Pompeu,12,br BRA,AM,23-217,21,1,1,0,1,0,1,1,100,0,2,0,2,0,1,1,0
17,Jared Stroud,8,us USA,LM,27-005,90,3,1,1,1,1,2,5,40,3,3,0,3,0,3,1,0
17,Indiana Vassilev,19,us USA,RM,22-149,60,2,1,0,2,0,1,2,50,1,1,0,1,1,3,1,0
17,Eduard Lowen,10,de GER,RM,26-168,30,1,0,1,0,0,1,1,100,0,2,0,2,0,1,0,0
17,Njabulo Blom,6,za RSA,DM,23-216,90,1,0,0,0,1,0,3,0,3,2,1,1,2,3,1,0
17,Kyle Hiebert,22,ca CAN,LB,25-350,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17,Tim Parker,26,us USA,CB,30-142,90,0,0,0,0,0,0,1,0,1,1,0,1,0,0,5,0
17,Joshua Yaro,15,gh GHA,CB,28-239,90,1,0,1,0,0,0,1,0,1,1,1,0,0,1,5,0
17,Akil Watts,20,us USA,RB,23-161,77,4,3,3,0,1,3,4,75,1,2,1,1,0,4,2,0
17,Jake Nerwinski,2,us USA,RB,28-271,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,Roman Burki,1,ch SUI,GK,32-243,90,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
