Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
18,Nicholas Gioacchini,11,us USA,FW,22-331,79,33,1,3,13,17,6,33,1,0,0,0,0,14,41,3,0,0,0,5,0,21,4
18,Isak Jensen,30,dk DEN,FW,19-180,11,4,0,0,2,2,0,4,2,2,100,0,0,2,35,24,2,0,0,0,0,2,0
18,Jared Stroud,8,us USA,LW,26-346,90,55,0,4,24,30,5,55,3,0,0,3,100,33,166,44,0,4,1,4,0,35,14
18,Celio Pompeu,12,br BRA,RW,23-193,63,31,1,4,14,14,3,31,0,0,0,0,0,18,148,82,3,2,1,4,0,18,5
18,Rasmus Alm,21,se SWE,RW,27-308,27,11,0,0,4,7,0,11,2,0,0,2,100,7,33,20,1,0,0,0,0,7,3
18,Tomas Ostrak,7,cz CZE,AM,23-136,79,31,0,0,16,15,3,31,3,1,33.3,2,66.7,22,122,36,1,1,1,2,0,26,6
18,John Klein,41,us USA,AM,23-216,11,8,0,1,2,5,1,8,0,0,0,0,0,2,3,0,0,0,0,0,1,4,1
18,Indiana Vassilev,19,us USA,DM,22-125,68,29,0,6,12,11,0,29,2,1,50,1,50,11,51,17,0,0,0,1,1,14,0
18,Aziel Jackson,25,fr FRA,DM,21-240,22,11,0,1,5,5,1,11,1,1,100,0,0,7,102,68,2,0,1,2,0,6,0
18,Njabulo Blom,6,za RSA,DM,23-192,90,52,2,10,32,12,0,52,5,5,100,0,0,30,202,122,2,4,0,3,0,28,2
18,John Nelson,14,us USA,LB,24-345,90,65,2,19,20,26,2,65,0,0,0,0,0,20,75,30,0,1,0,0,0,28,7
18,Tim Parker,26,us USA,CB,30-118,90,61,5,26,32,3,1,61,0,0,0,0,0,36,196,106,0,0,0,1,0,35,0
18,Lucas Bartlett,24,us USA,CB,25-330,79,59,3,29,29,1,0,59,0,0,0,0,0,34,317,195,1,1,0,0,0,37,0
18,Joshua Yaro,15,gh GHA,CB,28-215,11,11,1,7,4,0,0,11,0,0,0,0,0,5,17,0,0,0,0,0,0,1,0
18,Jake Nerwinski,2,us USA,RB,28-247,90,57,2,15,35,8,0,57,1,1,100,0,0,29,157,63,0,2,0,0,0,29,1
18,Roman Burki,1,ch SUI,GK,32-219,90,33,18,33,1,0,0,33,0,0,0,0,0,20,129,87,0,0,0,0,0,18,0
