Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
26,Samuel Adeniran,16,us USA,FW,24-334,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Nokkvi Thorisson,29,is ISL,FW,24-017,45,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
26,Jared Stroud,8,us USA,LW,27-051,45,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
26,Indiana Vassilev,19,us USA,"LM,CM",22-195,45,1,1,1,0,0,0,1,0,1,0,0,0,1,2,0,0
26,Rasmus Alm,21,se SWE,"RW,FW,RM",28-013,90,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
26,Aziel Jackson,25,fr FRA,"AM,CM",21-310,79,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
26,Tomas Ostrak,7,cz CZE,LM,23-206,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Eduard Lowen,10,de GER,"DM,RM,AM",26-214,90,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
26,Njabulo Blom,6,za RSA,"DM,CM,RB",23-262,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
26,Kyle Hiebert,22,ca CAN,LB,26-031,45,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
26,Anthony Markanich,13,us USA,LB,23-247,45,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
26,Tim Parker,26,us USA,CB,30-188,90,0,0,0,0,0,0,1,0,1,0,0,0,1,1,4,1
26,Joshua Yaro,15,gh GHA,CB,28-285,90,4,4,2,1,1,2,2,100,0,0,0,0,2,6,2,0
26,Akil Watts,20,us USA,RB,23-207,70,2,2,0,1,1,1,2,50,1,0,0,0,0,2,0,0
26,Klauss,9,br BRA,FW,26-182,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
26,Roman Burki,1,ch SUI,GK,32-289,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
