Match ID,Player,#,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
30,Samuel Adeniran,16,us USA,FW,24-355,77,14,0,2,6,8,4,14,3,3,100,0,0,10,145,110,3,2,2,1,1,10,0
30,Nokkvi Thorisson,29,is ISL,FW,24-038,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Klauss,9,br BRA,FW,26-203,90,25,2,4,7,14,3,25,1,1,100,0,0,13,74,39,0,0,0,1,2,16,6
30,Aziel Jackson,25,fr FRA,AM,21-331,58,24,0,2,7,15,2,24,1,0,0,1,100,15,74,20,1,1,1,2,3,17,3
30,Nicholas Gioacchini,11,us USA,AM,23-057,32,14,0,2,8,4,2,14,0,0,0,0,0,10,50,11,0,0,0,1,1,9,1
30,Eduard Lowen,10,de GER,LM,26-235,90,61,2,10,33,19,2,61,3,2,66.7,1,33.3,41,296,161,5,3,1,3,3,47,2
30,Njabulo Blom,6,za RSA,CM,23-283,57,35,5,16,17,3,0,35,0,0,0,0,0,13,65,25,0,2,0,1,0,14,0
30,Jake Nerwinski,2,us USA,RB,28-338,33,36,3,14,13,9,0,36,1,0,0,1,100,17,89,36,1,1,0,0,0,18,3
30,Indiana Vassilev,19,us USA,RM,22-216,87,41,0,5,18,19,3,41,3,1,33.3,2,66.7,29,244,146,7,3,2,1,1,31,7
30,Tomas Ostrak,7,cz CZE,RM,23-227,3,4,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
30,Anthony Markanich,13,us USA,LB,23-268,90,60,4,21,28,12,1,60,3,2,66.7,1,33.3,27,193,101,3,2,0,1,1,29,1
30,Joakim Nilsson,4,se SWE,CB,29-226,90,73,13,48,26,0,0,73,1,0,0,1,100,34,161,79,0,0,0,0,0,39,0
30,Tim Parker,26,us USA,CB,30-209,90,80,12,44,32,5,1,80,0,0,0,0,0,42,233,132,0,0,0,0,0,53,0
30,Akil Watts,20,us USA,"RB,CM",23-228,77,47,2,12,21,14,0,47,1,1,100,0,0,17,106,59,4,3,0,0,0,21,4
30,Jared Stroud,8,us USA,CM,27-072,13,12,1,2,4,6,1,12,0,0,0,0,0,4,32,20,1,0,0,0,0,6,2
30,Roman Burki,1,ch SUI,GK,32-310,90,42,32,41,1,0,0,42,0,0,0,0,0,20,126,85,0,0,0,0,0,16,0
